DISCLAIMER,variable_name,usage_count
"Under construction, use the results with caution.",RationManager.set_user_defined_rations.user_defined_ration.202,0
,RationManager.set_user_defined_rations.user_defined_ration.216,0
,RationManager.set_user_defined_rations.user_defined_ration.51,0
,RationManager.set_user_defined_rations.user_defined_ration.91,0
,RationManager.set_user_defined_rations.user_defined_ration.301,0
,RationManager.set_user_defined_rations.user_defined_ration.100,0
,RationManager.set_user_defined_rations.user_defined_ration.167,0
,RationManager.set_user_defined_rations.user_defined_ration.36,0
,RationManager.set_user_defined_rations.user_defined_ration.46,0
,RationManager.set_user_defined_rations.user_defined_ration.210,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_1.simulation day,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_1.attempt number,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_1.constraints_failed_dict,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_1.ration_attempted,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_1.pen requirements,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_1.initial_dry_matter_requirement,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_1.initial_protein_requirement,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_2.simulation day,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_2.attempt number,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_2.constraints_failed_dict,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_2.ration_attempted,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_2.pen requirements,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_2.initial_dry_matter_requirement,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_2.initial_protein_requirement,0
,AnimalModuleReporter.report_ration_per_animal.ration_per_animal_for_CALF_PEN_0.202,0
,AnimalModuleReporter.report_ration_per_animal.ration_per_animal_for_CALF_PEN_0.216,0
,AnimalModuleReporter.report_ration_per_animal.ration_per_animal_for_CALF_PEN_0.dry_matter_intake_total,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.dm,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.CP,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.ADF,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.NDF,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.lignin,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.ash,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.phosphorus,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.potassium,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.N,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.as_fed,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.EE,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.starch,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.TDN,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.DE,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.calcium,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.fat,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.fat_percentage,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.forage_ndf,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.forage_ndf_percent,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.ME,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.NE_maintenance_and_activity,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.NE_lactation,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.NE_growth,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.metabolizable_protein,0
,AnimalModuleReporter.report_ration_per_animal.ration_per_animal_for_GROWING_PEN_1.51,0
,AnimalModuleReporter.report_ration_per_animal.ration_per_animal_for_GROWING_PEN_1.91,0
,AnimalModuleReporter.report_ration_per_animal.ration_per_animal_for_GROWING_PEN_1.301,0
,AnimalModuleReporter.report_ration_per_animal.ration_per_animal_for_GROWING_PEN_1.dry_matter_intake_total,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.dm,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.CP,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.ADF,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.NDF,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.lignin,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.ash,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.phosphorus,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.potassium,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.N,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.as_fed,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.EE,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.starch,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.TDN,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.DE,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.calcium,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.fat,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.fat_percentage,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.forage_ndf,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.forage_ndf_percent,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.ME,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.NE_maintenance_and_activity,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.NE_lactation,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.NE_growth,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.metabolizable_protein,0
,AnimalModuleReporter.report_average_nutrient_requirements.avg_rqmts_for_GROWING_PEN_1.NEmaint_requirement,0
,AnimalModuleReporter.report_average_nutrient_requirements.avg_rqmts_for_GROWING_PEN_1.NEa_requirement,0
,AnimalModuleReporter.report_average_nutrient_requirements.avg_rqmts_for_GROWING_PEN_1.NEg_requirement,0
,AnimalModuleReporter.report_average_nutrient_requirements.avg_rqmts_for_GROWING_PEN_1.NEpreg_requirement,0
,AnimalModuleReporter.report_average_nutrient_requirements.avg_rqmts_for_GROWING_PEN_1.NEl_requirement,0
,AnimalModuleReporter.report_average_nutrient_requirements.avg_rqmts_for_GROWING_PEN_1.MP_requirement,0
,AnimalModuleReporter.report_average_nutrient_requirements.avg_rqmts_for_GROWING_PEN_1.Ca_requirement,0
,AnimalModuleReporter.report_average_nutrient_requirements.avg_rqmts_for_GROWING_PEN_1.P_req,0
,AnimalModuleReporter.report_average_nutrient_requirements.avg_rqmts_for_GROWING_PEN_1.P_req_process,0
,AnimalModuleReporter.report_average_nutrient_requirements.avg_rqmts_for_GROWING_PEN_1.DMIest_requirement,0
,AnimalModuleReporter.report_average_nutrient_requirements.avg_rqmts_for_GROWING_PEN_1.avg_BW,0
